"SLA_MAINCODE_2011","SLA_NAME_2011","SLA_5DIGITCODE_2011","SSD_CODE_2011","SSD_NAME_2011","SD_CODE_2011","SD_NAME_2011","STATE_CODE_2011","STATE_NAME_2011","SDIST_CODE_2011","SDIST_NAME_2011","MSR_CODE_2011","MSR_NAME_2011","SR_CODE_2011","SR_NAME_2011","SRS_CODE_2011","SRS_NAME_2011","SLA_REGIONCODE_2011","LGA_CODE_2011","LGA_NAME_2011"
"105051100","Botany Bay (C)","11100","10505","Inner Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1104","Inner Sydney","11041","Inner Sydney","110411100","11100","Botany Bay (C)"
"105054800","Leichhardt (A)","14800","10505","Inner Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1104","Inner Sydney","11041","Inner Sydney","110414800","14800","Leichhardt (A)"
"105055200","Marrickville (A)","15200","10505","Inner Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1104","Inner Sydney","11041","Inner Sydney","110415200","15200","Marrickville (A)"
"105057201","Sydney (C) - Inner","17201","10505","Inner Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1104","Inner Sydney","11041","Inner Sydney","110417201","17200","Sydney (C)"
"105057204","Sydney (C) - East","17204","10505","Inner Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1104","Inner Sydney","11041","Inner Sydney","110417204","17200","Sydney (C)"
"105057205","Sydney (C) - South","17205","10505","Inner Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1104","Inner Sydney","11041","Inner Sydney","110417205","17200","Sydney (C)"
"105057206","Sydney (C) - West","17206","10505","Inner Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1104","Inner Sydney","11041","Inner Sydney","110417206","17200","Sydney (C)"
"105106550","Randwick (C)","16550","10510","Eastern Suburbs","105","Sydney","1","New South Wales","","","11","Sydney","1108","Eastern Suburbs","11081","Eastern Suburbs","110816550","16550","Randwick (C)"
"105108050","Waverley (A)","18050","10510","Eastern Suburbs","105","Sydney","1","New South Wales","","","11","Sydney","1108","Eastern Suburbs","11081","Eastern Suburbs","110818050","18050","Waverley (A)"
"105108500","Woollahra (A)","18500","10510","Eastern Suburbs","105","Sydney","1","New South Wales","","","11","Sydney","1108","Eastern Suburbs","11081","Eastern Suburbs","110818500","18500","Woollahra (A)"
"105154150","Hurstville (C)","14150","10515","St George-Sutherland","105","Sydney","1","New South Wales","","","11","Sydney","1112","St George-Sutherland","11121","St George-Sutherland","111214150","14150","Hurstville (C)"
"105154450","Kogarah (C)","14450","10515","St George-Sutherland","105","Sydney","1","New South Wales","","","11","Sydney","1112","St George-Sutherland","11121","St George-Sutherland","111214450","14450","Kogarah (C)"
"105156650","Rockdale (C)","16650","10515","St George-Sutherland","105","Sydney","1","New South Wales","","","11","Sydney","1112","St George-Sutherland","11121","St George-Sutherland","111216650","16650","Rockdale (C)"
"105157151","Sutherland Shire (A) - East","17151","10515","St George-Sutherland","105","Sydney","1","New South Wales","","","11","Sydney","1112","St George-Sutherland","11121","St George-Sutherland","111217151","17150","Sutherland Shire (A)"
"105157152","Sutherland Shire (A) - West","17152","10515","St George-Sutherland","105","Sydney","1","New South Wales","","","11","Sydney","1112","St George-Sutherland","11121","St George-Sutherland","111217152","17150","Sutherland Shire (A)"
"105200351","Bankstown (C) - North-East","10351","10520","Canterbury-Bankstown","105","Sydney","1","New South Wales","","","11","Sydney","1116","Canterbury-Bankstown","11161","Canterbury-Bankstown","111610351","10350","Bankstown (C)"
"105200353","Bankstown (C) - North-West","10353","10520","Canterbury-Bankstown","105","Sydney","1","New South Wales","","","11","Sydney","1116","Canterbury-Bankstown","11161","Canterbury-Bankstown","111610353","10350","Bankstown (C)"
"105200355","Bankstown (C) - South","10355","10520","Canterbury-Bankstown","105","Sydney","1","New South Wales","","","11","Sydney","1116","Canterbury-Bankstown","11161","Canterbury-Bankstown","111610355","10350","Bankstown (C)"
"105201550","Canterbury (C)","11550","10520","Canterbury-Bankstown","105","Sydney","1","New South Wales","","","11","Sydney","1116","Canterbury-Bankstown","11161","Canterbury-Bankstown","111611550","11550","Canterbury (C)"
"105252851","Fairfield (C) - East","12851","10525","Fairfield-Liverpool","105","Sydney","1","New South Wales","","","11","Sydney","1120","Fairfield-Liverpool","11201","Fairfield-Liverpool","112012851","12850","Fairfield (C)"
"105252854","Fairfield (C) - West","12854","10525","Fairfield-Liverpool","105","Sydney","1","New South Wales","","","11","Sydney","1120","Fairfield-Liverpool","11201","Fairfield-Liverpool","112012854","12850","Fairfield (C)"
"105254901","Liverpool (C) - East","14901","10525","Fairfield-Liverpool","105","Sydney","1","New South Wales","","","11","Sydney","1120","Fairfield-Liverpool","11201","Fairfield-Liverpool","112014901","14900","Liverpool (C)"
"105254904","Liverpool (C) - West","14904","10525","Fairfield-Liverpool","105","Sydney","1","New South Wales","","","11","Sydney","1120","Fairfield-Liverpool","11201","Fairfield-Liverpool","112014904","14900","Liverpool (C)"
"105301450","Camden (A)","11450","10530","Outer South Western Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1124","Outer South Western Sydney","11241","Outer South Western Sydney","112411450","11450","Camden (A)"
"105301501","Campbelltown (C) - North","11501","10530","Outer South Western Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1124","Outer South Western Sydney","11241","Outer South Western Sydney","112411501","11500","Campbelltown (C)"
"105301504","Campbelltown (C) - South","11504","10530","Outer South Western Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1124","Outer South Western Sydney","11241","Outer South Western Sydney","112411504","11500","Campbelltown (C)"
"105308400","Wollondilly (A)","18400","10530","Outer South Western Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1124","Outer South Western Sydney","11241","Outer South Western Sydney","112418400","18400","Wollondilly (A)"
"105350150","Ashfield (A)","10150","10535","Inner Western Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1128","Inner Western Sydney","11281","Inner Western Sydney","112810150","10150","Ashfield (A)"
"105351300","Burwood (A)","11300","10535","Inner Western Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1128","Inner Western Sydney","11281","Inner Western Sydney","112811300","11300","Burwood (A)"
"105351521","Canada Bay (A) - Concord","11521","10535","Inner Western Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1128","Inner Western Sydney","11281","Inner Western Sydney","112811521","11520","Canada Bay (A)"
"105351524","Canada Bay (A) - Drummoyne","11524","10535","Inner Western Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1128","Inner Western Sydney","11281","Inner Western Sydney","112811524","11520","Canada Bay (A)"
"105357100","Strathfield (A)","17100","10535","Inner Western Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1128","Inner Western Sydney","11281","Inner Western Sydney","112817100","17100","Strathfield (A)"
"105400200","Auburn (C)","10200","10540","Central Western Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1132","Central Western Sydney","11321","Central Western Sydney","113210200","10200","Auburn (C)"
"105403950","Holroyd (C)","13950","10540","Central Western Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1132","Central Western Sydney","11321","Central Western Sydney","113213950","13950","Holroyd (C)"
"105406251","Parramatta (C) - Inner","16251","10540","Central Western Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1132","Central Western Sydney","11321","Central Western Sydney","113216251","16250","Parramatta (C)"
"105406252","Parramatta (C) - North-East","16252","10540","Central Western Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1132","Central Western Sydney","11321","Central Western Sydney","113216252","16250","Parramatta (C)"
"105406253","Parramatta (C) - North-West","16253","10540","Central Western Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1132","Central Western Sydney","11321","Central Western Sydney","113216253","16250","Parramatta (C)"
"105406254","Parramatta (C) - South","16254","10540","Central Western Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1132","Central Western Sydney","11321","Central Western Sydney","113216254","16250","Parramatta (C)"
"105450900","Blue Mountains (C)","10900","10545","Outer Western Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1136","North Western Sydney","11361","North Western Sydney","113610900","10900","Blue Mountains (C)"
"105453800","Hawkesbury (C)","13800","10545","Outer Western Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1136","North Western Sydney","11361","North Western Sydney","113613800","13800","Hawkesbury (C)"
"105456351","Penrith (C) - East","16351","10545","Outer Western Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1136","North Western Sydney","11361","North Western Sydney","113616351","16350","Penrith (C)"
"105456354","Penrith (C) - West","16354","10545","Outer Western Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1136","North Western Sydney","11361","North Western Sydney","113616354","16350","Penrith (C)"
"105530751","Blacktown (C) - North","10751","10553","Blacktown","105","Sydney","1","New South Wales","","","11","Sydney","1136","North Western Sydney","11361","North Western Sydney","113610751","10750","Blacktown (C)"
"105530752","Blacktown (C) - South-East","10752","10553","Blacktown","105","Sydney","1","New South Wales","","","11","Sydney","1136","North Western Sydney","11361","North Western Sydney","113610752","10750","Blacktown (C)"
"105530753","Blacktown (C) - South-West","10753","10553","Blacktown","105","Sydney","1","New South Wales","","","11","Sydney","1136","North Western Sydney","11361","North Western Sydney","113610753","10750","Blacktown (C)"
"105554100","Hunters Hill (A)","14100","10555","Lower Northern Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1144","Lower Northern Sydney","11441","Lower Northern Sydney","114414100","14100","Hunters Hill (A)"
"105554700","Lane Cove (A)","14700","10555","Lower Northern Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1144","Lower Northern Sydney","11441","Lower Northern Sydney","114414700","14700","Lane Cove (A)"
"105555350","Mosman (A)","15350","10555","Lower Northern Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1144","Lower Northern Sydney","11441","Lower Northern Sydney","114415350","15350","Mosman (A)"
"105555950","North Sydney (A)","15950","10555","Lower Northern Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1144","Lower Northern Sydney","11441","Lower Northern Sydney","114415950","15950","North Sydney (A)"
"105556700","Ryde (C)","16700","10555","Lower Northern Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1144","Lower Northern Sydney","11441","Lower Northern Sydney","114416700","16700","Ryde (C)"
"105558250","Willoughby (C)","18250","10555","Lower Northern Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1144","Lower Northern Sydney","11441","Lower Northern Sydney","114418250","18250","Willoughby (C)"
"105604001","Hornsby (A) - North","14001","10560","Central Northern Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1148","Central Northern Sydney","11481","Central Northern Sydney","114814001","14000","Hornsby (A)"
"105604004","Hornsby (A) - South","14004","10560","Central Northern Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1148","Central Northern Sydney","11481","Central Northern Sydney","114814004","14000","Hornsby (A)"
"105604500","Ku-ring-gai (A)","14500","10560","Central Northern Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1148","Central Northern Sydney","11481","Central Northern Sydney","114814500","14500","Ku-ring-gai (A)"
"105607421","The Hills Shire (A) - Central","17421","10560","Central Northern Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1148","Central Northern Sydney","11481","Central Northern Sydney","114817421","17420","The Hills Shire (A)"
"105607423","The Hills Shire (A) - North","17423","10560","Central Northern Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1148","Central Northern Sydney","11481","Central Northern Sydney","114817423","17420","The Hills Shire (A)"
"105607425","The Hills Shire (A) - South","17425","10560","Central Northern Sydney","105","Sydney","1","New South Wales","","","11","Sydney","1148","Central Northern Sydney","11481","Central Northern Sydney","114817425","17420","The Hills Shire (A)"
